t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
0.293334,0.274952,0.292864,0.498342,0.288056,0.688932,0.511972,-0.354813,0.99973,-0.975197,-0.783447,0.434816,3,0,1,0
0.489444,0.278905,0.292367,0.513005,0.284435,0.688059,0.498284,0.65306,0.999319,-0.99495,-0.148254,-0.897986,3,0,1,0
0.688459,0.275837,0.29115,0.514304,0.28367,0.688464,0.511441,0.25097,0.999815,-0.981017,-0.111527,-0.972546,3,0,1,0
0.922499,0.275837,0.29115,0.514304,0.28367,0.688464,0.511441,0.25097,0.999815,-0.981017,-0.111527,-0.972546,3,0,1,0
1.21481,0.273446,0.293044,0.513874,0.287848,0.686939,0.518731,-0.00121345,0.999899,-0.919576,-0.10323,-0.216502,3,0,1,0
1.54757,0.274026,0.295723,0.520143,0.290999,0.688249,0.519221,0.0737426,0.999864,-0.898763,0.134516,0.616844,3,0,1,0
1.84455,0.270577,0.298488,0.519966,0.292668,0.691405,0.505733,0.313247,0.999452,-0.984067,-0.0426121,0.980053,3,0,1,0
2.16293,0.273936,0.295292,0.528093,0.293503,0.691015,0.4925,0.691757,0.999645,-0.992652,0.278891,0.675924,3,0,1,0
2.47109,0.273936,0.295292,0.528093,0.29444,0.687867,0.499888,0.491509,0.999593,-0.990169,0.296202,0.948797,3,0,1,0
2.73428,0.279111,0.294762,0.526381,0.291252,0.686546,0.49936,0.641128,0.999624,-0.98631,0.54947,0.144571,3,0,1,0
2.93038,0.28161,0.2933,0.518854,0.292421,0.685418,0.499857,0.636232,0.999757,-0.988272,0.570133,-0.411281,3,0,1,0
3.13126,0.283993,0.291412,0.519277,0.290623,0.684966,0.492949,0.708333,0.999686,-0.99404,0.418113,-0.971849,3,0,1,0
3.42747,0.281738,0.293723,0.51085,0.293326,0.685253,0.486112,0.627109,0.999733,-0.99768,-0.133503,-0.920381,3,0,1,0
3.64387,0.278377,0.296943,0.50259,0.296777,0.688613,0.479621,0.391879,0.999654,-0.999588,-0.844795,-0.247836,3,0,1,0
3.98884,0.273558,0.300759,0.501711,0.302376,0.691941,0.493704,0.133227,0.999768,-0.99788,-0.765325,0.99101,3,0,1,0
4.28771,0.272823,0.304459,0.507426,0.296951,0.69437,0.486162,0.55842,0.999664,-0.9986,-0.657911,0.788759,3,0,1,0
4.58411,0.27107,0.302202,0.509334,0.294134,0.692565,0.498976,0.336278,0.999481,-0.994698,-0.452699,0.993668,3,0,1,0
4.88158,0.273469,0.300301,0.509773,0.290654,0.688965,0.505698,0.272999,0.999604,-0.9854,-0.297998,0.931071,3,0,1,0
5.18151,0.275868,0.298402,0.51021,0.285605,0.686929,0.498777,0.552456,0.999349,-0.996163,-0.438975,-0.331178,3,0,1,0
5.47833,0.280427,0.294745,0.510253,0.28521,0.682939,0.512453,0.0251959,0.99988,-0.964762,-0.252171,-0.977304,3,0,1,0
5.77256,0.280539,0.294178,0.519074,0.281395,0.680029,0.505694,0.47499,0.999561,-0.989872,0.113907,-0.992716,3,0,1,0
6.06919,0.276841,0.297081,0.518002,0.2834,0.682479,0.505656,0.510614,0.99951,-0.989419,0.0824464,-0.850078,3,0,1,0
6.33325,0.274548,0.299422,0.509558,0.286835,0.686076,0.49882,0.495651,0.999502,-0.996407,-0.478873,0.143755,3,0,1,0
