t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1,rot
0.14436,0.307724,0.314605,0.483559,0.291891,0.717706,0.535929,-0.137421,-0.995594,-0.636447,-0.646018,0.343352,3,0,1,0
0.340332,0.307724,0.314605,0.483559,0.292114,0.719777,0.529366,-0.130997,-0.995532,-0.579114,-0.770409,0.347679,3,0,1,0
0.538358,0.306411,0.31564,0.482956,0.29488,0.717178,0.54273,-0.280303,-0.994954,-0.608619,-0.478937,0.212489,3,0,1,0
0.776853,0.307724,0.314605,0.483559,0.293659,0.71802,0.542607,-0.132655,-0.995866,-0.701354,-0.477862,0.246892,3,0,1,0
1.03555,0.307463,0.314076,0.491587,0.293343,0.718928,0.529487,-0.145678,-0.996625,-0.265577,-0.630894,0.545394,3,0,1,0
1.36589,0.306992,0.311383,0.485091,0.297456,0.717296,0.53673,-0.255515,-0.994448,-0.611752,-0.399716,0.000140673,3,0,1,0
1.6259,0.308113,0.31049,0.484972,0.294467,0.717827,0.529886,-0.15785,-0.99523,-0.588997,-0.684918,0.110351,3,0,1,0
1.927,0.306992,0.311383,0.485091,0.294153,0.718741,0.516574,-0.360527,-0.994325,-0.29062,-0.927923,0.158099,3,0,1,0
2.19111,0.306992,0.311383,0.485091,0.297062,0.717947,0.523809,-0.360555,-0.993223,-0.350946,-0.814437,-0.00904246,3,0,1,0
2.48798,0.306735,0.310871,0.493129,0.295288,0.717631,0.516988,-0.318265,-0.995806,0.0181046,-0.874229,0.307124,3,0,1,0
2.78438,0.306735,0.310871,0.493129,0.296076,0.720877,0.517107,-0.242569,-0.996499,-0.031636,-0.856768,0.406399,3,0,1,0
3.08245,0.306992,0.311383,0.485091,0.297062,0.717947,0.523809,-0.360555,-0.993223,-0.350946,-0.814437,-0.00904246,3,0,1,0
3.3116,0.309963,0.31281,0.483257,0.2977,0.719361,0.53018,-0.195455,-0.99456,-0.575177,-0.673944,0.00190139,3,0,1,0
3.57765,0.311268,0.31177,0.4838,0.292916,0.719596,0.516458,-0.289519,-0.995353,-0.326151,-0.933886,0.106943,3,0,1,0
3.77457,0.309963,0.31281,0.483257,0.2947,0.719904,0.523285,-0.241101,-0.994792,-0.4469,-0.866592,0.085154,3,0,1,0
4.07193,0.306992,0.311383,0.485091,0.296173,0.72114,0.516751,-0.338874,-0.994469,-0.304461,-0.913482,0.17164,3,0,1,0
4.26892,0.306992,0.311383,0.485091,0.296713,0.722293,0.523475,-0.223633,-0.995164,-0.449293,-0.822803,0.134739,3,0,1,0
4.46691,0.306992,0.311383,0.485091,0.296713,0.722293,0.523475,-0.223633,-0.995164,-0.449293,-0.822803,0.134739,3,0,1,0
4.66382,0.306992,0.311383,0.485091,0.295585,0.723399,0.523062,-0.166851,-0.995727,-0.476287,-0.84018,0.212994,3,0,1,0
4.92776,0.306992,0.311383,0.485091,0.296713,0.722293,0.523475,-0.223633,-0.995164,-0.449293,-0.822803,0.134739,3,0,1,0
5.32671,0.302963,0.311513,0.478297,0.296608,0.728746,0.516529,-0.380064,-0.993201,-0.581578,-0.943246,0.656339,3,0,1,0
5.62149,0.302725,0.311,0.4864,0.296366,0.726635,0.523158,-0.150532,-0.996119,-0.47979,-0.786096,0.414088,3,0,1,0
5.92379,0.303845,0.310109,0.48629,0.299114,0.72398,0.536601,-0.0849747,-0.996393,-0.745272,-0.302934,0.225693,3,0,1,0
6.22066,0.306016,0.307682,0.494757,0.296126,0.724539,0.529743,0.0634467,-0.997772,-0.461309,-0.505239,0.571898,3,0,1,0
6.51556,0.304903,0.308569,0.494864,0.294351,0.72425,0.522949,-0.0288578,-0.997674,-0.25883,-0.703225,0.611675,3,0,1,0
6.8092,0.304676,0.306359,0.480354,0.297356,0.723691,0.529855,-0.130135,-0.994291,-0.800871,-0.697152,0.00608357,3,0,1,0
7.07392,0.310268,0.305697,0.479567,0.297113,0.721611,0.5364,0.16001,-0.995989,-0.907156,-0.505476,-0.162108,3,0,1,0
7.37173,0.307573,0.307139,0.487242,0.297113,0.721611,0.5364,0.117011,-0.996822,-0.808217,-0.376389,0.111704,3,0,1,0
7.67152,0.303076,0.306273,0.496619,0.297356,0.723691,0.529855,-0.0910849,-0.997462,-0.305791,-0.32397,0.702871,3,0,1,0
7.96642,0.300666,0.308192,0.496201,0.299114,0.72398,0.536601,-0.154577,-0.99694,-0.409346,-0.0587633,0.749112,3,0,1,0
8.26441,0.301714,0.304943,0.48224,0.30332,0.722561,0.543658,-0.127234,-0.989964,-0.957751,0.150644,-0.404462,3,0,1,0
8.55767,0.303032,0.303909,0.482838,0.30232,0.72187,0.524312,-0.367281,-0.983498,-0.6593,-0.620734,-0.198234,3,0,1,0
8.86099,0.300095,0.302508,0.484852,0.304679,0.719915,0.524832,-0.406045,-0.933699,-0.772391,-0.213259,-0.136642,3,0,1,0
9.15465,0.295934,0.304502,0.49992,0.303199,0.7217,0.51133,-0.330719,-0.989462,0.159689,-0.42953,0.996621,3,0,1,0
9.4547,0.290103,0.302329,0.495085,0.301433,0.721398,0.504395,-0.553855,-0.985611,-0.420405,-0.840489,0.998882,3,0,1,0
9.71489,0.295934,0.304502,0.49992,0.299399,0.718986,0.504196,-0.359748,-0.997667,0.179641,-0.922718,0.999225,3,0,1,0
10.0104,0.296536,0.300314,0.502154,0.295574,0.716248,0.497048,-0.293012,-0.999506,-0.0068057,-0.991998,0.999143,3,0,1,0
10.3093,0.304494,0.298326,0.492975,0.289225,0.715212,0.489708,0.238447,-0.998944,-0.871898,-0.996879,0.176575,3,0,1,0
10.6051,0.307163,0.296848,0.485291,0.282544,0.710223,0.495802,0.165934,-0.999097,-0.931098,-0.999003,-0.678028,3,0,1,0
10.9051,0.306656,0.295967,0.50143,0.279963,0.71012,0.502107,0.0767267,-0.996325,-0.0667351,-0.989296,-0.99745,3,0,1,0
11.2053,0.300252,0.297387,0.503202,0.277401,0.710017,0.508375,0.037365,-0.997318,0.469866,-0.99391,-0.976933,3,0,1,0
11.497,0.302561,0.302958,0.49897,0.278877,0.714746,0.514768,0.0766948,-0.998489,-0.175746,-0.991481,0.656642,3,0,1,0
11.8607,0.300601,0.305841,0.482411,0.283396,0.718903,0.528019,-0.0698183,-0.995824,-0.795662,-0.925926,0.772773,3,0,1,0
12.1588,0.298599,0.308777,0.465603,0.284853,0.723536,0.534374,-0.536153,-0.990796,-0.86757,-0.975702,0.781111,3,0,1,0
