t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy,input0,input1
0.158042,0.311143,0.324134,0.470053,0.31758,0.737361,0.526724,-0.336968,-0.984347,-0.685051,-0.518247,0.249131,3,0,1
0.455541,0.312183,0.322525,0.47881,0.31758,0.737361,0.526724,-0.214873,-0.990065,-0.565939,-0.310335,0.108814,3,0,1
0.752419,0.310863,0.323557,0.478132,0.315558,0.735002,0.526382,-0.257556,-0.989249,-0.50715,-0.353795,0.269451,3,0,1
1.04976,0.31487,0.32339,0.484949,0.315558,0.735002,0.526382,-0.159447,-0.994261,-0.367249,-0.251346,0.292482,3,0,1
1.34332,0.31487,0.32339,0.484949,0.31758,0.737361,0.526724,-0.150784,-0.994041,-0.428905,-0.19774,0.304769,3,0,1
1.64468,0.318294,0.327494,0.489702,0.317111,0.736273,0.519911,-0.268564,-0.995686,-0.0542983,-0.449625,0.751772,3,0,1
2.14082,0.323289,0.324342,0.481831,0.315081,0.733904,0.519581,-0.272681,-0.99499,-0.295259,-0.752167,-0.0194591,3,0,1
2.60815,0.324935,0.32388,0.474384,0.312119,0.73451,0.512578,-0.340472,-0.995647,-0.473914,-0.896054,0.276041,3,0,1
3.09414,0.326473,0.325657,0.48082,0.311675,0.735678,0.532331,0.0793947,-0.996692,-0.581051,-0.386231,0.0120468,3,0,1
3.38916,0.326473,0.325657,0.48082,0.309038,0.735511,0.538275,0.297984,-0.997431,-0.734608,-0.218548,0.173233,3,0,1
3.68982,0.326828,0.326244,0.472816,0.309038,0.735511,0.538275,0.115022,-0.996412,-0.788441,-0.413793,-0.102334,3,0,1
3.98506,0.327237,0.328926,0.479482,0.311966,0.734921,0.545052,0.249126,-0.996861,-0.732319,0.0484129,0.167339,3,0,1
4.28324,0.326117,0.32984,0.479751,0.311966,0.734921,0.545052,0.213421,-0.996792,-0.705722,0.05456,0.217792,3,0,1
4.51272,0.326284,0.330567,0.470848,0.314879,0.734327,0.551828,0.119224,-0.995392,-0.828813,0.144283,-0.146629,3,0,1
4.74194,0.325153,0.331481,0.471064,0.318948,0.735488,0.539998,-0.111351,-0.993315,-0.679116,-0.0969285,-0.241405,3,0,1
5.04273,0.323047,0.334059,0.46258,0.319275,0.737595,0.533563,-0.317033,-0.988996,-0.665796,-0.604083,-0.00887705,3,0,1
5.33984,0.321729,0.335104,0.46193,0.319275,0.737595,0.533563,-0.33675,-0.987733,-0.665993,-0.620151,0.129163,3,0,1
5.63503,0.321395,0.334474,0.469999,0.320957,0.737827,0.540355,-0.153856,-0.992277,-0.652369,-0.0458799,-0.0865709,3,0,1
5.83514,0.320263,0.335386,0.470208,0.319275,0.737595,0.533563,-0.237956,-0.990649,-0.527053,-0.35248,0.201036,3,0,1
6.13654,0.320263,0.335386,0.470208,0.320837,0.738866,0.527153,-0.301156,-0.989405,-0.561245,-0.54488,0.48333,3,0,1
6.42877,0.318949,0.33643,0.469571,0.320837,0.738866,0.527153,-0.318075,-0.98825,-0.581364,-0.546608,0.624393,3,0,1
6.65672,0.320089,0.335523,0.469424,0.320837,0.738866,0.527153,-0.310916,-0.988992,-0.578106,-0.5622,0.50333,3,0,1
7.01814,0.322708,0.333433,0.470637,0.320837,0.738866,0.527153,-0.280687,-0.99104,-0.548901,-0.564478,0.178044,3,0,1
7.2871,0.32384,0.33252,0.470424,0.32252,0.739094,0.533999,-0.195204,-0.991355,-0.608747,-0.282376,-0.19277,3,0,1
7.51897,0.32384,0.33252,0.470424,0.319275,0.737595,0.533563,-0.204237,-0.992259,-0.577732,-0.389853,-0.142782,3,0,1
7.78709,0.325153,0.331481,0.471064,0.32252,0.739094,0.533999,-0.176762,-0.991932,-0.619087,-0.282849,-0.262796,3,0,1
8.07796,0.322708,0.333433,0.470637,0.322862,0.741217,0.527529,-0.266937,-0.991166,-0.576587,-0.512202,0.134065,3,0,1
8.37496,0.321916,0.334981,0.46286,0.322862,0.741217,0.527529,-0.356172,-0.988053,-0.710004,-0.646415,0.354312,3,0,1
8.5714,0.322954,0.336221,0.476478,0.325652,0.740335,0.534833,-0.14428,-0.991987,-0.522579,0.050935,0.163226,3,0,1
8.87065,0.322954,0.336221,0.476478,0.32688,0.73949,0.534894,-0.161507,-0.990814,-0.531299,0.0915894,0.128061,3,0,1
9.1016,0.322954,0.336221,0.476478,0.329586,0.739659,0.528957,0.600655,0.971485,-0.963037,-0.720712,-0.724743,3,1,0
9.37317,0.322954,0.336221,0.476478,0.327238,0.741611,0.528441,0.58428,0.967643,-0.962791,-0.740963,-0.702253,3,1,0
9.62898,0.320481,0.343038,0.46702,0.330546,0.742041,0.542104,0.733377,0.99392,-0.971812,-0.397924,-0.904091,3,1,0
9.92666,0.312089,0.350671,0.456924,0.333121,0.744591,0.561764,0.800609,0.997616,-0.979355,-0.061631,-0.964803,3,1,0
10.2211,0.307917,0.35796,0.454807,0.334734,0.744793,0.568397,0.82145,0.998064,-0.982768,0.0361285,-0.972699,3,1,0
10.5212,0.3004,0.369907,0.435173,0.339012,0.745172,0.569339,0.829391,0.998738,-0.989746,0.155317,-0.988489,3,1,0
11.0204,0.293434,0.393487,0.441995,0.346786,0.742807,0.570868,0.877502,0.998998,-0.995105,0.169321,-0.99143,3,1,0
11.4419,0.285168,0.41745,0.426069,0.351357,0.739003,0.571822,0.892945,0.999335,-0.997941,0.0996657,-0.995436,3,1,0
11.7094,0.27986,0.436502,0.402974,0.35517,0.737334,0.578868,0.906886,0.999487,-0.998678,0.110329,-0.996913,3,1,0
11.9734,0.277414,0.453863,0.40453,0.357601,0.736398,0.566766,0.910568,0.999524,-0.999367,-0.0707046,-0.997805,3,1,0
12.2696,0.274582,0.477142,0.396536,0.362528,0.734417,0.561835,0.913216,0.999581,-0.999654,-0.178828,-0.998602,3,1,0
12.5692,0.271793,0.500602,0.388985,0.369005,0.732165,0.575635,0.924578,0.999641,-0.999632,0.0528349,-0.998676,3,1,0
12.7637,0.268338,0.522171,0.374066,0.37077,0.728262,0.58214,0.937236,0.999703,-0.999596,0.211846,-0.998822,3,1,0
13.0643,0.268805,0.546165,0.374558,0.375833,0.726481,0.577018,0.948458,0.999735,-0.999496,0.350771,-0.998624,3,1,0
13.356,0.270375,0.577422,0.357851,0.377879,0.72345,0.571003,0.967177,0.99978,-0.999508,0.246279,-0.998083,3,1,0
13.6549,0.279082,0.601606,0.368595,0.382442,0.71965,0.57192,0.978284,0.999812,-0.99932,0.353058,-0.995243,3,1,0
13.8832,0.280418,0.620297,0.373291,0.381322,0.715141,0.565275,0.986035,0.999835,-0.999214,0.290042,-0.989888,3,1,0
14.0879,0.288173,0.634031,0.378327,0.385257,0.714161,0.559924,0.991335,0.999853,-0.99897,0.250885,-0.974823,3,1,0
14.3184,0.29304,0.649907,0.368315,0.389097,0.712761,0.566831,0.997247,0.99989,-0.997374,0.149321,-0.766874,3,1,0
14.6121,0.302058,0.669074,0.366562,0.393668,0.708952,0.567736,0.998741,0.999909,-0.995248,-0.0279669,-0.10309,3,1,0
14.91,0.308394,0.681295,0.381125,0.395046,0.708474,0.555579,0.998935,0.999901,-0.995122,-0.0121738,0.22231,3,1,0
15.2069,0.307869,0.692884,0.372292,0.396265,0.707607,0.555678,0.999228,0.99993,-0.993714,-0.288071,0.676287,3,1,0
15.5034,0.306495,0.701021,0.363317,0.397661,0.702325,0.555996,0.999286,0.999937,-0.9935,-0.445617,0.814848,3,1,0
15.7064,0.30202,0.699694,0.378351,0.395062,0.698074,0.561711,0.999343,0.999921,-0.991942,0.0141737,0.800381,3,1,0
16.0027,0.291915,0.701286,0.38413,0.395062,0.698074,0.561711,0.999292,0.999896,-0.991971,0.291839,0.754063,3,1,0
16.295,0.283534,0.706046,0.375039,0.395215,0.692566,0.555186,0.999359,0.999912,-0.992196,0.130912,0.851988,3,1,0
16.5247,0.282266,0.707269,0.374366,0.396899,0.688748,0.561846,0.999417,0.999909,-0.990744,0.278135,0.873606,3,1,0
16.755,0.279508,0.707178,0.381537,0.395247,0.686831,0.548891,0.999347,0.999895,-0.992619,0.255197,0.859537,3,1,0
17.05,0.274952,0.708931,0.373012,0.392362,0.681078,0.548503,0.999331,0.999905,-0.992785,0.0748614,0.880596,3,1,0
17.3538,0.272223,0.708832,0.380203,0.390084,0.677182,0.541889,0.99928,0.999888,-0.993491,0.1321,0.871749,3,1,0
17.6531,0.263627,0.711388,0.378882,0.389301,0.673951,0.541578,0.999319,0.999874,-0.993091,0.272143,0.90004,3,1,0
17.9452,0.261692,0.712518,0.393855,0.384727,0.66735,0.547336,0.999318,0.999842,-0.992139,0.620674,0.871143,3,1,0
18.2428,0.259233,0.716868,0.385484,0.385546,0.664694,0.54157,0.9994,0.999852,-0.991894,0.478641,0.937953,3,1,0
18.5401,0.26127,0.717202,0.393267,0.383976,0.658206,0.541093,0.999404,0.99984,-0.99156,0.564985,0.937004,3,1,0
18.7677,0.26127,0.717202,0.393267,0.379911,0.657957,0.52766,0.999263,0.999823,-0.994445,0.298006,0.943855,3,1,0
18.9705,0.260104,0.720682,0.38484,0.376456,0.65498,0.520693,0.999164,0.999835,-0.996392,-0.173556,0.969703,3,1,0
19.2047,0.258296,0.723993,0.392053,0.378812,0.653028,0.521161,0.999275,0.99981,-0.995346,0.186508,0.981384,3,1,0
