t,bead0x,bead0y,bead0z,bead1x,bead1y,bead1z,omega0,omega1,omega2,omega3,omega4,policy
0.134447,0.226224,0.266281,0.039564,0.846032,0.568239,0.0171476,-0,0,0,-0,-0.3,-1
0.500132,0.193874,0.313449,0.0535316,0.850763,0.511921,0.0242607,-0,0,0,-0,-0.3,-1
0.695102,0.176467,0.34057,0.052802,0.847148,0.478796,0.046097,-0,0,0,-0,-0.3,-1
0.992934,0.156523,0.389258,0.0293748,0.838305,0.428125,0.0427432,-0,0,0,-0,-0.3,-1
1.19028,0.146835,0.418903,0.036303,0.834955,0.395793,0.0368339,-0,0,0,-0,-0.3,-1
1.58673,0.14409,0.477287,0.0591675,0.820357,0.343271,0.00675904,-0,0,0,-0,-0.3,-1
1.78658,0.136958,0.513843,0.032209,0.794479,0.311703,0.0418752,-0,0,0,-0,-0.3,-1
2.08359,0.148958,0.556596,0.0534522,0.774035,0.27564,0.00926534,-0,0,0,-0,-0.3,-1
2.2821,0.156976,0.587975,0.0509687,0.752656,0.249378,0.0193092,-0,0,0,-0,-0.3,-1
2.58016,0.17361,0.628463,0.0659471,0.718465,0.218343,0.0117249,-0,0,0,-0,-0.3,-1
2.74029,0.181634,0.654489,0.0490344,0.692319,0.204757,0.0351296,-0,0,0,-0,-0.3,-1
3.03924,0.204674,0.701747,0.0201026,0.651726,0.179503,0.0329744,-0,0,0,-0,-0.3,-1
3.23612,0.220112,0.727554,0.0265206,0.621834,0.169008,0.0392159,-0,0,0,-0,-0.3,-1
3.53565,0.253199,0.755952,0.0465902,0.585388,0.153831,0.0182195,-0,0,0,-0,-0.3,-1
3.73488,0.276619,0.777322,0.0490472,0.558232,0.147742,0.014923,-0,0,0,-0,-0.3,-1
4.0285,0.317755,0.805151,0.0386188,0.504159,0.143105,0.0294874,-0,0,0,-0,-0.3,-1
4.22531,0.34335,0.818893,0.0458822,0.477876,0.142456,0.0152098,-0,0,0,-0,-0.3,-1
4.52608,0.383496,0.838612,0.0504257,0.431673,0.147516,0.0155367,-0,0,0,-0,-0.3,-1
4.72391,0.412828,0.845598,0.0422211,0.403449,0.156327,0.020298,-0,0,0,-0,-0.3,-1
5.0181,0.45867,0.857129,0.0325947,0.358687,0.173414,0.0371536,-0,0,0,-0,-0.3,-1
5.18288,0.486112,0.856645,0.0344992,0.335016,0.183917,0.0281318,-0,0,0,-0,-0.3,-1
5.48276,0.527299,0.857867,0.0339064,0.299119,0.203801,0.0295164,-0,0,0,-0,-0.3,-1
5.68057,0.559122,0.853237,0.0386009,0.273594,0.224413,0.0261621,-0,0,0,-0,-0.3,-1
5.97813,0.60636,0.839552,0.0496054,0.239672,0.255893,0.030112,-0,0,0,-0,-0.3,-1
6.17591,0.637677,0.829863,0.0428496,0.218496,0.281597,0.032553,-0,0,0,-0,-0.3,-1
6.46931,0.683335,0.807279,0.0396329,0.192591,0.320296,0.02823,-0,0,0,-0,-0.3,-1
6.67178,0.709727,0.788232,0.0370271,0.183745,0.343856,0.0489701,-0,0,0,-0,-0.3,-1
6.96785,0.744808,0.761489,0.0361114,0.164487,0.391212,0.0379933,-0,0,0,-0,-0.3,-1
7.19965,0.771307,0.733413,0.0400121,0.157636,0.422063,0.0552495,-0,0,0,-0,-0.3,-1
